CreatedDate,Department,Email,AccountId,FirstName,Id,LastName,MailingCity,MailingStreet,MobilePhone,Title
2025-03-18T12:51:45.000+0000,,sofiarodriguez@example.com,001F900001r1qrwIAA,Sofia,003F900001o96zeIAA,Rodriguez,Minneapolis,3 6th Avenue,612-350-2240,
2025-03-18T12:51:45.000+0000,,kasseycarlick@example.com,001F900001r1qrwIAA,Kassey,003F900001o96zfIAA,Carlick,Kansas City,989 Northridge Junction,328-540-7945,
2025-03-18T12:51:45.000+0000,,laurenscarlson@example.com,001F900001r1qrwIAA,Laurens,003F900001o96zgIAA,Carlson,San Rafael,3 Bunker Hill Point,237-887-9535,
2025-03-18T12:51:45.000+0000,,cacilieborrington@example.com,001F900001r1qs3IAA,Cacilie,003F900001o970zIAA,Borrington,New York City,0128 Steensland Pass,707-553-2972,
2025-03-18T12:51:45.000+0000,,ardythwakerley@example.com,001F900001r1qs3IAA,Ardyth,003F900001o9710IAA,Wakerley,Washington,18 Arizona Point,951-322-9615,
2025-03-18T12:51:45.000+0000,,andreamatias@example.com,001F900001r1qs2IAA,Andrea,003F900001o9711IAA,Matias,South Bend,68 Sunnyside Avenue,526-908-2274,
2025-03-18T12:51:45.000+0000,,webergingles@example.com,001F900001r1qs2IAA,Weber,003F900001o9712IAA,Gingles,Gatesville,43 Acker Circle,911-413-1554,
2025-03-18T12:51:45.000+0000,,henrikaggis@example.com,001F900001r1qs2IAA,Henrik,003F900001o9713IAA,Aggis,Orlando,2580 Transport Center,180-911-8579,
2025-03-18T12:51:45.000+0000,,zondrasemarke@example.com,001F900001r1qrzIAA,Zondra,003F900001o9714IAA,Semarke,Spokane,73 Quincy Center,913-235-2027,
2025-03-18T12:51:45.000+0000,,willisfearnside@example.com,001F900001r1qrzIAA,Willis,003F900001o9715IAA,Fearnside,Huntsville,26336 Thackeray Trail,152-274-9917,
2025-03-18T12:51:45.000+0000,,gunarmetheringham@example.com,001F900001r1qrzIAA,Gunar,003F900001o9716IAA,Metheringham,Wilkes Barre,823 Stone Corner Point,662-283-6056,
2025-03-18T12:51:45.000+0000,,gunargedney@example.com,001F900001r1qs0IAA,Gunar,003F900001o9717IAA,Gedney,Springfield,52777 Barby Place,357-537-1749,
2025-03-18T12:51:45.000+0000,,orrangaythwaite@example.com,001F900001r1qs0IAA,Orran,003F900001o9718IAA,Gaythwaite,Chicago,821 Ohio Lane,778-262-5127,
2025-03-18T12:51:45.000+0000,,eldredgereame@example.com,001F900001r1qs1IAA,Eldredge,003F900001o9719IAA,Reame,Lincoln,03 Carpenter Drive,441-478-6257,
2025-03-18T12:51:45.000+0000,,teddypascow@example.com,001F900001r1qs1IAA,Teddy,003F900001o971AIAQ,Pascow,Corpus Christi,342 Browning Pass,768-201-0571,
2025-03-18T12:51:45.000+0000,,kacietenaunt@example.com,001F900001r1qrxIAA,Kacie,003F900001o971BIAQ,Tenaunt,Charleston,57072 Del Mar Drive,360-239-1657,
2025-03-18T12:51:45.000+0000,,mirnamcneilley@example.com,001F900001r1qrxIAA,Mirna,003F900001o971CIAQ,McNeilley,Lexington,300 Merrick Crossing,256-986-4856,
2025-03-18T12:51:45.000+0000,,maxicardenas@example.com,001F900001r1qrxIAA,Maxi,003F900001o971DIAQ,Cardenas,Roanoke,71038 Debs Drive,720-567-9845,
2025-03-18T12:51:45.000+0000,,carvermccomiskey@example.com,001F900001r1qryIAA,Carver,003F900001o971EIAQ,McComiskey,Spokane,2 Prairie Rose Way,432-346-9567,
2025-03-18T12:51:45.000+0000,,schuylerfeaveer@example.com,001F900001r1qryIAA,Schuyler,003F900001o971FIAQ,Feaveer,Kingsport,769 Huxley Crossing,966-247-6394,
2025-03-18T12:51:45.000+0000,Procurement,rose@edge.com,001F900001r1qrxIAA,Rose,003F900001o971GIAQ,Gonzalez,,"313 Constitution Place
Austin, TX 78767
USA",(512) 757-9340,"SVP, Procurement"
2025-03-18T12:51:45.000+0000,Finance,sean@edge.com,001F900001r1qrxIAA,Sean,003F900001o971HIAQ,Forbes,,"312 Constitution Place
Austin, TX 78767
USA",(512) 757-4561,CFO
2025-03-18T12:51:45.000+0000,,jrogers@burlington.com,001F900001r1qryIAA,Jack,003F900001o971IIAQ,Rogers,Burlington,525 S. Lexington Ave,,"VP, Facilities"
2025-03-18T12:51:45.000+0000,Finance,pat@pyramid.net,001F900001r1qrzIAA,Pat,003F900001o971JIAQ,Stumuller,Paris,2 Place Jussieu,(014) 454-6364,"SVP, Administration and Finance"
2025-03-18T12:51:45.000+0000,Internal Operations,a_young@dickenson.com,001F900001r1qs0IAA,Andy,003F900001o971KIAQ,Young,Lawrence,1301 Hoch Drive,(785) 265-5350,"SVP, Operations"
2025-03-18T12:51:45.000+0000,Finance,barr_tim@grandhotels.com,001F900001r1qs1IAA,Tim,003F900001o971LIAQ,Barr,,"2335 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA",(312) 596-1230,"SVP, Administration and Finance"
2025-03-18T12:51:45.000+0000,Facilities,bond_john@grandhotels.com,001F900001r1qs1IAA,John,003F900001o971MIAQ,Bond,,"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA",(312) 596-1563,"VP, Facilities"
2025-03-18T12:51:45.000+0000,Production,spavlova@uog.com,001F900001r1qs2IAA,Stella,003F900001o971NIAQ,Pavlova,,"1303 Avenue of the Americas 
New York, NY 10019
USA",(212) 842-5501,"SVP, Production"
2025-03-18T12:51:45.000+0000,Technology,lboyle@uog.com,001F900001r1qs2IAA,Lauren,003F900001o971OIAQ,Boyle,,"1304 Avenue of the Americas 
New York, NY 10019
USA",(212) 842-5611,"SVP, Technology"
2025-03-18T12:51:45.000+0000,Operations,b.levy@expressl&t.net,001F900001r1qs3IAA,Babara,,Levy,,"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States",(503) 421-5451,"SVP, Operations"
2025-03-18T12:51:45.000+0000,Warehouse Mgmt,j.davis@expressl&t.net,001F900001r1qs3IAA,Josh,,Davis,,"621 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States",(503) 421-4387,"Director, Warehouse Mgmt"
2025-03-18T12:51:45.000+0000,Administration,jane_gray@uoa.edu,001F900001r1qs4IAA,Jane,003F900001o971PIAQ,Grey,,"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States",(520) 773-4539,Dean of Administration
2025-03-18T12:51:45.000+0000,Executive Team,asong@uog.com,001F900001r1qs2IAA,Arthur,003F900001o971QIAQ,Song,,"1301 Avenue of the Americas 
New York, NY 10019
USA",(212) 842-4535,CEO
2025-03-18T12:51:45.000+0000,Finance,ajames@uog.com,001F900001r1qs5IAA,Ashley,003F900001o971RIAQ,James,,"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom",+44 191 3456234,"VP, Finance"
